category,Tool
Transcriptome quantification,30
Differential expression,24
Read alignment,22
RNA splicing,21
Detecting circRNA,19
Fusion detection,18
Cell deconvolution,16
Data quality control,16
Transcriptome assembly,16
Visualization tools,15
Small RNA detection,14
Allele specific expression,11
Immune repertoire profiling,5
Gene annotations,4
Viral detection,4
